	OTU	Taxonomy	SampleID	GROUP	Value
1574	OTU3791	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_?	SMPL6	no	2
1750	OTU3755	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Moraxellaceae|g_Acinetobacter|s_?	SMPL69	yes	2
1828	OTU3713	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_OTU693|NN=Christensenella_minuta_AB490809|D=86.6	SMPL36	no	2
1940	OTU3707	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_?|s_?	SMPL36	no	2
2028	OTU3648	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelatoclostridium|s_uncultured Firmicutes bacterium	SMPL12	no	1
2030	OTU3648	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelatoclostridium|s_uncultured Firmicutes bacterium	SMPL14	no	1
2134	OTU3594	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptococcaceae|g_?|s_?	SMPL6	no	1
2173	OTU3594	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptococcaceae|g_?|s_?	SMPL45	no	1
2303	OTU3520	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL63	yes	2
2358	OTU3518	d_Bacteria|p_?|c_?|o_?|f_?|g_?|s_?	SMPL6	no	2
2524	OTU3513	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL59	yes	2
2646	OTU3510	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae|g_?|s_?	SMPL69	yes	1
2655	OTU3510	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae|g_?|s_?	SMPL79	no	1
2726	OTU3452	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_?|s_?	SMPL38	no	2
2858	OTU3440	d_Bacteria|p_Cyanobacteria|c_Melainabacteria|o_Gastranaerophilales|f_?|g_?|s_?	SMPL57	yes	2
2986	OTU3717	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Oscillospira|s_OTU968|NN=Oscillospira[Pseudoflavonifractor]_capillosus_AY136666|D=95.7	SMPL74	yes	2
3034	OTU3429	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_?	SMPL10	no	2
3215	OTU3399	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Betaproteobacteriales|f_Rhodocyclaceae|g_Methyloversatilis|s_Methyloversatilis sp. cd-1	SMPL79	no	2
3296	OTU3360	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-010|s_gut metagenome	SMPL48	no	1
3313	OTU3360	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-010|s_gut metagenome	SMPL65	no	1
3380	OTU3798	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_?|s_?	SMPL20	yes	2
3490	OTU3347	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL18	yes	1
3497	OTU3347	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL25	yes	1
3624	OTU3335	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Oscillibacter|s_?	SMPL40	no	1
3649	OTU3335	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Oscillibacter|s_?	SMPL65	no	1
3775	OTU3310	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_?	SMPL79	no	2
3882	OTU3266	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_?|g_?|s_?	SMPL74	yes	3
3965	OTU3453	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_?|g_?|s_?	SMPL45	no	2
4049	OTU3240	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Tannerellaceae|g_Parabacteroides|s_?	SMPL17	yes	3
4219	OTU3237	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL75	yes	3
4294	OTU3214	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Dorea|s_formicigenerans	SMPL38	no	2
4297	OTU3214	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Dorea|s_formicigenerans	SMPL41	no	1
4404	OTU3673	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_?	SMPL36	no	2
4504	OTU3209	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_?	SMPL24	yes	1
4538	OTU3209	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_?	SMPL57	yes	2
4649	OTU3202	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcus 1|s_?	SMPL60	no	3
4707	OTU3188	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL3	yes	3
4836	OTU3171	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides dorei	SMPL20	yes	3
4968	OTU3143	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_[Eubacterium] coprostanoligenes group|s_gut metagenome	SMPL40	no	3
5046	OTU3141	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_?	SMPL6	no	2
5066	OTU3141	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_?	SMPL26	yes	1
5225	OTU3123	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Planococcaceae|g_Solibacillus|s_?	SMPL73	yes	3
5321	OTU3084	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotellaceae UCG-001|s_uncultured rumen bacterium	SMPL60	no	3
5430	OTU3083	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Subdoligranulum|s_?	SMPL54	yes	1
5434	OTU3083	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Subdoligranulum|s_?	SMPL57	yes	2
5553	OTU4133	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL65	no	1
5562	OTU4133	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL74	yes	1
5660	OTU3055	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Oscillospira|s_?	SMPL59	yes	3
5746	OTU4146	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_?|s_?	SMPL34	yes	2
5859	OTU2948	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL35	no	1
5860	OTU2948	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL36	no	1
5864	OTU2948	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL40	no	1
6004	OTU2940	d_Bacteria|p_Tenericutes|c_Mollicutes|o_Mollicutes RF39|f_gut metagenome|g_?|s_?	SMPL68	yes	1
6017	OTU2940	d_Bacteria|p_Tenericutes|c_Mollicutes|o_Mollicutes RF39|f_gut metagenome|g_?|s_?	SMPL81	yes	2
6093	OTU2934	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_dorei	SMPL45	no	3
6198	OTU2931	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Eubacteriaceae|g_Anaerofustis|s_?	SMPL38	no	1
6200	OTU2931	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Eubacteriaceae|g_Anaerofustis|s_?	SMPL40	no	2
6283	OTU2904	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL11	no	2
6337	OTU2904	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL65	no	1
6397	OTU2881	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL13	no	1
6404	OTU2881	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL20	yes	1
6429	OTU2881	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL45	no	1
6536	OTU2859	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminiclostridium 6|s_?	SMPL40	no	3
6687	OTU2848	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Aerococcaceae|g_Facklamia|s_?	SMPL79	no	3
6758	OTU2841	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Asteroleplasma|s_?	SMPL38	no	3
6843	OTU2839	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL11	no	3
6998	OTU2823	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL54	yes	2
7008	OTU2823	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL64	yes	1
7066	OTU2774	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_?	SMPL10	no	3
7178	OTU2773	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_?|s_?	SMPL10	no	3
7295	OTU2756	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptostreptococcaceae|g_?|s_?	SMPL15	no	3
7398	OTU2753	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_?	SMPL6	no	1
7430	OTU2753	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_?	SMPL38	no	1
7452	OTU2753	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_?	SMPL59	yes	1
7544	OTU2734	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_OTU506|NN=Christensenella_minuta_AB490809|D=83.8	SMPL40	no	3
7641	OTU2715	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Betaproteobacteriales|f_Neisseriaceae|g_Kingella|s_?	SMPL25	yes	3
7756	OTU2714	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Faecalibacterium|s_?	SMPL28	yes	3
7850	OTU2712	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_?	SMPL10	no	3
8039	OTU2657	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Flavobacteriales|f_Weeksellaceae|g_Bergeyella|s_Bergeyella sp. AF14	SMPL87	no	1
8053	OTU2657	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Flavobacteriales|f_Weeksellaceae|g_Bergeyella|s_Bergeyella sp. AF14	SMPL100	no	2
8129	OTU2653	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-002|s_gut metagenome	SMPL65	no	3
8191	OTU2875	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL15	no	3
8333	OTU2630	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_?	SMPL45	no	3
8418	OTU2622	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhizobiales|f_Rhizobiaceae|g_Mesorhizobium|s_Mesorhizobium sp. URHA0056	SMPL18	yes	1
8425	OTU2622	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhizobiales|f_Rhizobiaceae|g_Mesorhizobium|s_Mesorhizobium sp. URHA0056	SMPL25	yes	1
8446	OTU2622	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhizobiales|f_Rhizobiaceae|g_Mesorhizobium|s_Mesorhizobium sp. URHA0056	SMPL46	no	1
8550	OTU2618	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_[Eubacterium] coprostanoligenes group|s_?	SMPL38	no	3
8650	OTU2583	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_?	SMPL26	yes	1
8652	OTU2583	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_?	SMPL28	yes	2
8794	OTU2565	d_Bacteria|p_Cyanobacteria|c_Melainabacteria|o_Gastranaerophilales|f_?|g_?|s_?	SMPL57	yes	3
8916	OTU2560	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_?|g_?|s_?	SMPL68	yes	3
9018	OTU2554	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella 9|s_?	SMPL57	yes	3
9075	OTU2533	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-013|s_?	SMPL3	yes	3
9185	OTU2936	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Lachnospiraceae UCG-008|s_metagenome	SMPL1	yes	1
9222	OTU2936	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Lachnospiraceae UCG-008|s_metagenome	SMPL38	no	1
9242	OTU2936	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Lachnospiraceae UCG-008|s_metagenome	SMPL57	yes	1
9354	OTU2531	d_Bacteria|p_Firmicutes|c_?|o_?|f_?|g_?|s_?	SMPL57	yes	3
9414	OTU2439	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL6	no	4
9581	OTU2410	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Carnobacteriaceae|g_Granulicatella|s_?	SMPL61	yes	1
9585	OTU2410	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Carnobacteriaceae|g_Granulicatella|s_?	SMPL65	no	2
9612	OTU2410	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Carnobacteriaceae|g_Granulicatella|s_?	SMPL92	yes	1
9635	OTU2379	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL3	yes	2
9689	OTU2379	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL60	no	1
9690	OTU2379	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL57	yes	1
9830	OTU2363	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_?	SMPL86	no	2
9843	OTU2363	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_?	SMPL99	yes	1
9846	OTU2363	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_?	SMPL101	no	1
9876	OTU2360	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_?|s_?	SMPL20	yes	1
9896	OTU2360	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_?|s_?	SMPL40	no	3
10006	OTU2352	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rickettsiales|f_Mitochondria|g_Vitis vinifera (wine grape)|s_?	SMPL38	no	4
10080	OTU2345	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Turicibacter|s_?	SMPL0	yes	1
10145	OTU2345	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Turicibacter|s_?	SMPL65	no	3
10256	OTU2335	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Lactococcus|s_?	SMPL64	yes	4
10316	OTU2304	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_?|s_?	SMPL12	no	1
10318	OTU2304	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_?|s_?	SMPL14	no	2
10409	OTU2304	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_?|s_?	SMPL104	no	1
10436	OTU2290	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Papillibacter|s_?	SMPL20	yes	2
10466	OTU2290	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Papillibacter|s_?	SMPL50	no	2
10535	OTU2276	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL7	no	2
10584	OTU2276	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL56	no	1
10603	OTU2276	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL75	yes	1
10646	OTU2270	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL6	no	2
10647	OTU2270	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL7	no	1
10697	OTU2270	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL60	no	1
10839	OTU2268	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_Porphyromonas sp. oral clone HF001	SMPL87	no	1
10843	OTU2268	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_Porphyromonas sp. oral clone HF001	SMPL91	yes	1
10847	OTU2268	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_Porphyromonas sp. oral clone HF001	SMPL95	no	1
10853	OTU2268	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_Porphyromonas sp. oral clone HF001	SMPL100	no	1
10916	OTU2260	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL52	no	4
10994	OTU2254	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL18	yes	1
10997	OTU2254	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL21	yes	1
11039	OTU2254	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL63	yes	1
11059	OTU2254	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL83	no	1
11098	OTU2244	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL10	no	2
11108	OTU2244	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL20	yes	1
11136	OTU2244	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL48	no	1
11206	OTU2214	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Family XIII|g_Mogibacterium|s_uncultured organism	SMPL6	no	1
11228	OTU2214	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Family XIII|g_Mogibacterium|s_uncultured organism	SMPL28	yes	1
11268	OTU2214	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Family XIII|g_Mogibacterium|s_uncultured organism	SMPL68	yes	1
11291	OTU2214	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Family XIII|g_Mogibacterium|s_uncultured organism	SMPL91	yes	1
11320	OTU2198	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_?	SMPL8	no	4
11441	OTU2184	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Intestinimonas|s_?	SMPL17	yes	2
11443	OTU2184	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Intestinimonas|s_?	SMPL19	yes	2
11615	OTU2169	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microbacterium|s_?	SMPL79	no	4
11705	OTU2393	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Butyricicoccus|s_Butyricicoccus sp. K4410.MGS-46	SMPL60	no	4
11808	OTU2133	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminiclostridium 1|s_?	SMPL48	no	4
11900	OTU3451	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_?	SMPL28	yes	2
12022	OTU2115	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Negativibacillus|s_?	SMPL38	no	4
12175	OTU2106	d_Bacteria|p_?|c_?|o_?|f_?|g_?|s_?	SMPL79	no	4
12222	OTU2103	d_Bacteria|p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Veillonellaceae|g_Selenomonas 3|s_Selenomonas artemidis	SMPL14	no	1
12225	OTU2103	d_Bacteria|p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Veillonellaceae|g_Selenomonas 3|s_Selenomonas artemidis	SMPL17	yes	1
12231	OTU2103	d_Bacteria|p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Veillonellaceae|g_Selenomonas 3|s_Selenomonas artemidis	SMPL23	yes	2
12385	OTU2098	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Betaproteobacteriales|f_Burkholderiaceae|g_Sutterella|s_uncultured organism	SMPL65	no	4
12443	OTU2082	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_?	SMPL11	no	4
12554	OTU2081	d_Bacteria|p_Firmicutes|c_Clostridia|o_?|f_?|g_?|s_?	SMPL10	no	1
12601	OTU2081	d_Bacteria|p_Firmicutes|c_Clostridia|o_?|f_?|g_?|s_?	SMPL60	no	2
